sequence,label,avg_wrist_to_index,avg_wrist_to_pinky,avg_thumb_index_angle,avg_palm_area,max_velocity,mean_acceleration,movement_angle
31,z,0.6189819472702135,0.3838085762923331,58.91888207526833,0.032996420546183174,0.0,0.0,0.0
32,z,0.7980598824301021,0.4934759161131852,55.22765556599937,0.05700834891041468,0.0,0.0,0.0
33,z,0.9212754590878407,0.5761322652663533,57.908801898293255,0.08166129628481375,0.0,0.0,0.0
34,z,0.6310517294772314,0.40082245046232473,61.95065360729322,0.0391070752773429,0.0,0.0,0.0
35,z,0.6465323443788938,0.4240172911286025,61.24219440568982,0.03974056789841784,0.0,0.0,0.0
36,z,0.7170133695720297,0.45621805966659024,59.9559539060865,0.049122103575087686,0.0,0.0,0.0
37,z,0.7733941025421097,0.49060893215419693,59.75216948876259,0.05479391195458424,0.0,0.0,0.0
38,z,0.8750606001719028,0.5547231165669975,58.545181301081456,0.07652887385355425,0.0,0.0,0.0
39,z,0.5927428245048725,0.3663991349780433,57.25089769961685,0.032363203795953595,0.0,0.0,0.0
40,z,0.5277294711513859,0.3386553447790274,59.859937023158516,0.02640524157335248,0.0,0.0,0.0
41,z,0.5518905065261975,0.3581723656327492,58.32712692343239,0.03006901650252431,0.0,0.0,0.0
42,z,0.6466805045233184,0.4217187824755723,57.83882739871673,0.03895067504618157,0.0,0.0,0.0
43,z,0.7849178475043423,0.514311380416299,60.84628706439821,0.0601900837238447,0.0,0.0,0.0
44,z,0.5986134097365406,0.40012308461296603,61.48510852787106,0.03507229506367747,0.0,0.0,0.0
45,z,0.8045236352629755,0.505499678109427,60.10098252718314,0.0652307502811989,0.0,0.0,0.0
46,z,0.7472072800443109,0.4772200060375693,59.07324299700047,0.05333153306817341,0.0,0.0,0.0
47,z,0.8032984779297058,0.510579326793212,58.43169644457484,0.06098994842166925,0.0,0.0,0.0
48,z,0.821083581446752,0.522283241096287,57.134698810919836,0.06346055667721852,0.0,0.0,0.0
49,z,0.7543773638622069,0.47691183571242296,54.6560168797686,0.05284657925698998,0.0,0.0,0.0
50,z,0.83388134964907,0.533783169132337,57.62466103819937,0.06729600026180668,0.0,0.0,0.0
51,z,0.5413978496404139,0.34468951750898547,59.06798374884454,0.029186375203573235,0.0,0.0,0.0
52,z,0.5851962783378778,0.3815547202182932,57.73438290683641,0.03578300971187579,0.0,0.0,0.0
53,z,0.5689473079818499,0.3696395090657306,58.57404460493009,0.031948014408085514,0.0,0.0,0.0
54,z,0.7501375817292159,0.48346147877319323,54.528827505369186,0.053453619031848185,0.0,0.0,0.0
55,z,0.9342709500599972,0.5803831007096275,61.91699097871073,0.0895975268361053,0.0,0.0,0.0
56,z,0.7695444095382226,0.4754456424329044,59.97775946873793,0.05959466988828838,0.0,0.0,0.0
57,z,0.6666746684119137,0.40523278743647795,58.77566925168128,0.04055796351066584,0.0,0.0,0.0
58,z,0.7980913221597621,0.49009317904421845,56.96054628525252,0.05854060551430137,0.0,0.0,0.0
59,z,0.7155725346588946,0.4449854003904064,63.605429755360184,0.051655752779320496,0.0,0.0,0.0
60,z,0.6759990368740848,0.4403001195006461,62.38033754335999,0.04549862827969548,0.0,0.0,0.0
61,z,0.6827349260488123,0.4459929214751266,62.62340816449953,0.04112297636242997,0.0,0.0,0.0
62,z,0.65616723703078,0.40805407975872,64.32088935790514,0.039124280247440225,0.0,0.0,0.0
63,z,0.7567161219709649,0.4600084076537901,63.050840831041725,0.050501035676950926,0.0,0.0,0.0
64,z,0.6787229178539442,0.41320385530533854,62.860051755324605,0.0389755335140783,0.0,0.0,0.0
65,z,0.6776828012899277,0.4166155237505176,63.73430419109923,0.042053531209705695,0.0,0.0,0.0
66,z,0.6704578634393685,0.412130519863075,62.96464054575209,0.03891533960296627,0.0,0.0,0.0
67,z,0.6487898070638406,0.38730244311842227,58.408747380141726,0.03520382867349205,0.0,0.0,0.0
68,z,0.6640629951436873,0.40233399678487697,64.11089864964066,0.038218883767730166,0.0,0.0,0.0
69,z,0.6856129359353598,0.42661875438836316,62.05531217104814,0.040439827984441186,0.0,0.0,0.0
70,z,0.6621409412576255,0.4047938324509951,66.09445812379415,0.0406434522754377,0.0,0.0,0.0
71,z,0.6360197862064387,0.39385187048872705,66.24178343374716,0.0354961824562405,0.0,0.0,0.0
72,z,0.6519449173564942,0.3970362088857245,65.35251304586207,0.0381688501517837,0.0,0.0,0.0
73,z,0.7245062928279911,0.436345546989476,64.47285397901332,0.043748845408627286,0.0,0.0,0.0
74,z,0.7433926254507467,0.44887692181056615,65.01501673610423,0.04722183490209849,0.0,0.0,0.0
75,z,0.7286392336068614,0.4318577331478352,62.47542374920428,0.04354982412112593,0.0,0.0,0.0
76,z,0.6876613760393635,0.4110106421432704,64.63951629547095,0.041376662990709266,0.0,0.0,0.0
77,z,0.7062847995079748,0.43497159088951853,63.524462975067934,0.044317160817804124,0.0,0.0,0.0
78,z,0.6800928816575935,0.4150798600466938,64.9571471198254,0.04088928951935724,0.0,0.0,0.0
79,z,0.699631613920658,0.4285611128534474,66.52243761305984,0.044150903614256526,0.0,0.0,0.0
80,z,0.7089786831634535,0.46203105172667475,54.5578186927627,0.04164637376192491,0.0,0.0,0.0
81,z,0.6346067048064987,0.4167995509624018,59.09894798265867,0.03439565399749722,0.0,0.0,0.0
82,z,0.7826338278591977,0.5099286479885433,60.85243890678966,0.054259404161675635,0.0,0.0,0.0
83,z,0.6618564035513259,0.4354547131357821,60.65701635816557,0.040115917792251904,0.0,0.0,0.0
84,z,0.6098229184294435,0.40290333302112075,58.87465253456408,0.03306560536468992,0.0,0.0,0.0
85,menang,0.5630074040837381,0.39737484683241553,130.28509524185748,0.12288956756014438,0.0,0.0,0.0
